"Check Created Webhooks","Check Created Webhooks"
"(Re)Create Webhooks","(Re)Create Webhooks"
"TreviPay payment method is currently not available to this customer as the customer is not registered in TreviPay yet.","TreviPay payment method is currently not available to this customer as the customer is not registered in TreviPay yet."
"TreviPay payment method is currently not available to this customer as their TreviPay customer status is ""%1"".","TreviPay payment method is currently not available to this customer as their TreviPay customer status is ""%1""."
"TreviPay payment method is currently not available to this customer as their TreviPay buyer status is ""%1"".","TreviPay payment method is currently not available to this customer as their TreviPay buyer status is ""%1""."
"Page not found.","Page not found."
"An error occurred with the following message: ""%1"". Please check the exception log for more details.","An error occurred with the following message: ""%1"". Please check the exception log for more details."
"An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details.","An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details."
"There was an error trying to apply for TreviPay.","There was an error trying to apply for %1."
"Payment method is not enabled","Payment method is not enabled"
"Something went wrong in the payment gateway.","Something went wrong in the payment gateway."
"Hold on! You currently have insufficient credit, for this purchase. No worries, please visit %1 to request an increase to your credit line.","Hold on! You currently have insufficient credit, for this purchase. No worries, please visit %1 to request an increase to your credit line."
"Purchase Order number is required","Purchase Order number is required"
"Purchase Order number is invalid or does not match expected format","Purchase Order number is invalid or does not match expected format"
"Payment capturing error.","Payment capturing error."
"Payment refund error.","Payment refund error."
"Payment voiding error.","Payment voiding error."
"Payment voiding error. Received status %1","Payment voiding error. Received status %1"
"Payment not found","Payment not found"
"Authorization transaction is required to void.","Authorisation transaction is required to void."
"Cannot void the authorization transaction.","Cannot void the authorisation transaction."
"Apply for Credit","Apply for Credit"
"Cannot void the authorization transaction because its status is %1.","Cannot void the authorisation transaction because its status is %1."
"CreditMemo not found","CreditMemo not found"
"Invoice not found","Invoice not found"
"Invalid amount for a refund.","Invalid amount for a refund."
"Invalid amount for a refund. Refund amount can't be higher than the paid amount.","Invalid amount for a refund. Refund amount can't be higher than the paid amount."
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Refunded shipping '%1' is higher than invoiced shipping '%2'","Refunded shipping '%1' is higher than invoiced shipping '%2'"
"Refunded shipping '%1' is higher than captured shipping '%2'","Refunded shipping '%1' is higher than captured shipping '%2'"
"Purchase Order Number","Purchase Order Number"
Notes,Notes
"%1 is too long. The maximum length is %2 characters.","%1 is too long. The maximum length is %2 characters."
"API URL is not set.","API URL is not set."
"Could not assign an unique client reference id to the customer.","Could not assign an unique client reference id to the customer."
