%1 is too long. The maximum length is %2 characters.,%1 es demasiado largo. La longitud máxima es de %2 caracteres.
(Re)Create Webhooks,Re(crear) webhooks
"<p>If you plan to no longer use the TreviPay module, please delete the created webhooks so that TreviPay will stop sending updates to your Magento website. In order to do it please click on the <strong>Delete Webhooks</strong> button.</p><p>Please note that webhooks can be (re)created at any time by clicking on the <strong>(Re)Create Webhooks</strong> button.</p>","<p>Si planea dejar de usar el módulo TreviPay, elimine los ""webhooks"" creados para que TreviPay deje de enviar actualizaciones a su sitio web de Magento. Para ello, haga clic en el botón <strong>Eliminar ""webhooks""</strong>.</p><p>Tenga en cuenta que los ""webhooks"" pueden volver a crearse en cualquier momento haciendo clic en el botón <strong>Volver a crear ""webhooks""</strong>.</p>"
"<p>It looks like the <strong>API Key</strong> had been edited recently or the <strong>Sandbox Mode</strong> status had been changed.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Parece que la <strong>Clave API</strong> se había editado recientemente o que el estado del <strong>Modo de entorno de prueba</strong> se había cambiado.</p><p>Revise la configuración y, después de confirmar que todo está configurado correctamente, haga clic en el botón <strong>Revisar webhooks creados</strong> . Magento recuperará los webhooks creados en TreviPay de acuerdo con la <strong>Clave API</strong> configurada actualmente (o la <strong>Clave API del entorno de prueba</strong> si el <strong>Modo de entorno de prueba</strong> está configurado como ""Sí"")</p><p>Si los webhooks no se crean en TreviPay, haga clic en el botón <strong>(Re)crear webhooks</strong>. Los webhooks se (re)crearán según la configuración actual del módulo de TreviPay.</p>"
"<p>It looks like the website <strong>Base URL</strong> had been edited recently.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Parece que la <strong>URL básica</strong> del sitio web se había editado recientemente.</p><p>Revise la configuración y, después de confirmar que todo está configurado correctamente, haga clic en el botón <strong>Revisar webhooks creados</strong>. Magento recuperará los webhooks creados en TreviPay de acuerdo con la <strong>Clave API</strong> configurada actualmente (o la <strong>Clave API del entorno de prueba</strong> si el <strong>Modo de entorno de prueba</strong> está configurado como ""Sí"")</p><p>Si los webhooks no se crean en TreviPay o si se crean utilizando la <strong>URL básica</strong> del sitio web anterior, haga clic en el botón <strong>(Re)crear webhooks</strong>. Los webhooks se (re)crearán según la configuración actual del módulo de TreviPay.</p>"
"<p>Please note that this might be correct if your websites do not require separate TreviPay programs as it is fine for webhooks to be triggered only to your main website URL.</p><p>If you want to use multiple TreviPay programs, please review the settings and click on the <strong>Check Created Webhooks</strong> button once you have confirmed that everything is correctly set up. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Tenga en cuenta que esto puede ser correcto si sus sitios web no necesitan programas TreviPay separados, ya que es correcto que los ""webhooks"" se activen solo ante la URL de su sitio web principal.</p><p>Si quiere usar múltiples programas TreviPay, revise la configuración y haga clic en el botón<strong>Revisar los ""webhooks"" creados</strong> cuando haya confirmado que todo se ha configurado correctamente. Magento buscará los ""webhooks"" creados en InvoideMe según la <strong>clave de API</strong> actualmente configurada (o <strong> la clave de API de Sandbox</strong> si el <strong>modo Sandbox</strong> está establecido en ""Sí"").</p><p>Si los ""webhooks"" no se han creado en TreviPay o se han creado utilizando la <strong>URL base</strong> del sitio web antiguo, haga clic en el botón <strong>volver a crear ""webhooks"".</strong> Los ""webhooks"" se volverán a crear según la configuración actual del módulo TreviPay.</p>"
"<p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Revise la configuración y, después de confirmar que todo está configurado correctamente, haga clic en el botón <strong>Revisar webhooks creados</strong>. Magento recuperará los webhooks creados en TreviPay de acuerdo con la <strong>Clave API</strong> configurada actualmente (o la <strong>Clave API del entorno de prueba</strong> si el <strong>Modo de entorno de prueba</strong> está establecido como ""Sí"")</p><p>Si no se crean los webhooks en TreviPay, haga clic en el botón <strong>(Re)crear webhooks</strong>. Los webhooks se (re)crearán de acuerdo con la configuración actual del módulo de TreviPay.</p>"
A customer website ID wasn't specified. The ID must be specified to use the website scope.,No se ha especificado la identificación del sitio web del cliente. La identificación debe especificarse para usar todo el sitio web.
Accepted Currency,Moneda aceptada
Accounts Payable Integration,Integración con cuentas a pagar
Active buyers only,Solo compradores activos
Adjustment Fee,Tarifa de ajuste
Adjustment Refund,Reembolso de ajuste
All customers,Todos los clientes
"An error occurred with the following message: ""%1"". Please check the exception log for more details.","Se ha producido un error con el siguiente mensaje: ""%1"". Consulte el registro de excepciones para obtener más información."
"An error occurred with the following message: ""%1"". Please enable the debug mode, try again and check the debug log for more details.","Se ha producido un error con el siguiente mensaje: ""%1"". Active el modo de depuración, inténtelo de nuevo y compruebe el registro de depuración para obtener más información."
API Key,Clave API
API key does not match your webhooks API key,La clave de API no coincide con la clave de API de sus webhooks
API key matching webhooks,La clave API coincide con los webhooks
API URL,URL del API
API URL is not set.,La URL de la API no se ha establecido.
Apply Now,Solicitar ahora
Approval for a Line of Credit,Aprobación para una línea de crédito
Approved Limit,Límite aprobado
Are you sure you want to delete the webhooks?,¿Está seguro de que desea eliminar los webhooks?
Authorize Only,Solo autorizar
Availability,Disponibilidad
Available,Disponible
Balance,Saldo
Base URL matching webhooks Base URL,"La URL básica coincide con los webhooks, URL básica"
Base URL not matching webhooks Base URL,"La URL básica no coincide con los webhooks, URL básica"
Business Name,Nombre de la empresa
Buyer ID (first 8 characters),Id. del comprador (primeros 8 caracteres)
Cannot void the authorization transaction because its status is %1.,No se puede anular la transacción con autorización previa porque su estado es %1.
Cannot void the authorization transaction.,No se puede anular la transacción con autorización previa.
charge,cargo
Check Created Webhooks,Revisar webhooks creados
Client Reference ID,Id. de referencia del cliente
Company Wide Purchasing,Compras de toda la empresa
